Location,year,counts,offset,x1
a33682bf,10,0,0.05752,298.93290840193464
be428bac,10,1,0.1015,99.69620477258654
8f3fe004,10,0,0.06543,735.2177473270996
88d245ba,10,0,0.10083,144.55546647270725
72cd92d3,10,0,0.09215,207.77028026294286
a06de818,10,1,0.11001,659.0812190468367
d531f652,10,0,0.20559,4.880905896134323
7778c917,10,1,0.09134,43.27563023018716
205e19b2,10,1,0.2416,450.8621852586469
9a312f28,10,0,0.01986,494.7706789010602
0eb837a8,10,1,0.06004,50.10021995772554
0f9ed4e2,10,1,0.36548,143.28318593265348
c2be3453,10,4,5.04547,24.216548266733984
e24cd8b8,10,0,0.01973,372.3318889423848
550e54c5,10,0,0.0594,443.0238938400914
156ec693,10,0,0.03167,407.13297155731294
cf35c6c5,10,0,0.02786,302.99962881405526
14298a4c,10,0,0.04873,658.1834026982687
5e125303,10,0,0.22574,173.72494256867498
21255d80,10,0,0.02004,830.1258553274682
55a7fd48,10,0,0.02001,876.8495067981871
a4728441,10,0,0.02049,283.8803045246798
acd4504e,10,0,0.00653,442.91616855351543
8ccec174,10,0,0.02548,300.52592036063106
a4a399e0,10,3,0.56795,315.54819098297304
d4270efc,10,0,0.09157,751.0132262833392
957796e0,10,0,0.03435,625.1237604286094
78ce3bab,10,0,0.00986,274.72527472527474
60760148,10,0,0.02927,396.04255839860656
5eac0b24,10,1,0.10399,373.18308595690905
5cafec9f,10,1,0.00734,271.37042062415196
ad8153f8,10,0,0.06261,216.3530206410151
78eaa11e,10,0,0.07684,147.93345021923815
1f9012d1,10,0,0.05203,98.69695356994559
8d66d502,10,0,0.06554,635.8258094798707
1a1685ad,10,1,0.0829,565.8275092004583
afbc2e22,10,1,0.00836,521.0948718626389
2e23216d,10,0,0.03761,353.5353535353535
eda1ed99,10,0,0.08708,188.0996148198787
f3fb7a0c,10,5,2.79605,63.18472099460395
feb5d49b,10,3,0.36301,465.8584446328126
9bd1560c,10,0,0.0073,812.2948601279837
6a97c123,10,0,0.0063,0
47235d1f,10,1,0.34319,61.74194360673733
14a06ce1,10,0,0.00558,185.87360594795538
89c9d5ba,10,1,0.07734,425.362452234913
802bcd6f,10,2,0.05079,388.9502653700445
b5f1a762,10,0,0.03745,234.56701987837033
f89b93ae,10,1,0.0728,41.58004158004157
352ce11a,10,0,0.04571,166.5647455792988
e27e8033,10,0,0.15728,77.51025226885687
1778258c,10,0,0.02711,101.91203238586012
954f2cb4,10,0,0.02949,651.4949672245207
cb173123,10,0,0.09195,629.2072914358882
ce5d1ed1,10,0,0.07286,105.24296080241483
118e2f5e,10,1,0.31527,216.95603729606412
bb345b03,10,0,0.05402,489.69124863657964
d7a280be,10,0,0.11034,353.07030050148114
5b08009a,10,0,0.08413,34.14131862524958
